name,city,location,date,high_price,low_price,actor,state
【林肯爵士乐上海中心】1127-1128 Yusuf五重奏,上海,2020.11.27-11.28,,售票中,林肯爵士乐上海中心,180,180
「怦怦」刘莱斯2020巡演 上海站,上海,2020.12.04 周五 20:30,,售票中,MAO Livehouse上海,120,198
沼泽乐队「风知我」二〇二〇年巡演 深圳站,深圳,2020.12.05 周六 20:30,,售票中,深圳 HOU LIVE,130,130
“爱乐之海”说唱联合专场,珠海,2020.11.29 周日 20:00,,售票中,珠海乐坊Livehouse,150,200
《光辉的岁月.纪念黄家驹逝世27载》巡回演唱会,武汉,2020.12.26 周六 20:30,,售票中,L7 Livehouse(珞狮路南国大家装A2栋三层),168,228
2020真的爱你-致敬BEYOND·黄家驹演唱会,长沙,2020.12.04 周五 19:30,,售票中,红节奏音乐俱乐部,180,480
MOJOHAND 2020新专辑巡演 哈尔滨站,哈尔滨,2020.11.22 周日 19:00,,售票中,SUBLIVE,120,120
【秀动呈献】Carsick Cars 2020“晕”巡演 西安站,西安,2020.12.04 周五 20:30,,售票中,MAO Livehouse西安,150,150
「秋游要去动物园 Fall Reverb In The Zoo」2020动物园钉子户巡演 合肥站,合肥,2020.12.12 周六 20:30,,售票中,ON THE WAY LIVEHOUSE,100,100
“致敬经典”孙砾，王庆爽演唱会,南昌,2020.11.25 周三 19:45,,售票中,江西艺术中心音乐厅,160,280
不速之客＜年轻&危险＞十周年全国巡演大连站,大连,2020.12.03 周四 20:30,,售票中,赫兹音乐空间(黑石礁店),100,120
【全场畅饮】雨木——红色的海 新歌发布专场演出,北京,2020.11.25 周三 20:30,,售票中,MAO Livehouse北京,80,240
幻想天空电子音乐派对 广州站,广州,2020.12.05-12.06,,售票中,MAO Livehouse广州,69,169
"希望熬过一切,我们像星光一样璀璨 西安站",西安,2020.12.27 周日 20:30,,售票中,西安创矩音乐现场,88,88
2020圣诞超级枕头大战-全程高能一战入魂 昆明,昆明,2020.12.24 周四 20:00,,售票中,MODERNSKY LAB(昆明店),128,228
与她生活节Pro 广州站,广州,2020.12.25 周五 20:00,,售票中,MAO Livehouse广州,180,260
2020.11.22 “热血高校”巡演西安站,西安,2020.11.22 周日 20:00,,售票中,西演LIVE·光圈CLUB,50,88
2020The Will On Kill“博弈轮”巡演 重庆站,重庆,2020.12.11 周五 20:00,,售票中,重庆VOX LIVEHOUSE,100,190
仙人掌喜剧 | 脱口秀小剧场,杭州,2020.12.11 周五,,售票中,杭州大剧院,100,120
SUMMER SUNSHINE乐队＜北京男孩＞巡演 上海站,上海,2020.12.12 周六 20:30,,售票中,育音堂(凯旋路店),80,80
马潇与失眠症「你找到避雨的地方了吗？」2020巡演 苏州站,苏州,2020.11.27 周五 20:30,,售票中,新光天地一楼,80,80
景德镇文艺复兴乐队2020巡演 | 长沙站,长沙,2020.11.28 周六 20:00,,售票中,MAO Livehouse长沙,100,120
穿脑号迷航 | 解离的真实＆Sonicave 2020联合巡演 杭州站,杭州,2020.11.27 周五 20:30,,售票中,MAO Livehouse杭州,80,140
黑屋乐队2020巡演西安站,西安,2020.11.24 周二 20:00,黑屋乐队,售票中,西安创矩音乐现场,68,68
