name,title,score,comment,price,author,data,store,translate
故事,材质、结构、风格和银幕剧作的原理,9.2,11313人评价,68.00,周铁东 ,2014-9-1 ,天津人民出版社 ,[美] 罗伯特·麦基 
尼罗河上的惨案,阿加莎·克里斯蒂代表作,8.7,37573人评价,22.00,宫英海 ,2006-5 ,人民文学出版社 ,[英] 阿加莎·克里斯蒂 
德米安,少年辛克莱寻找通向自身之路的艰辛历程,9.0,17295人评价,25.00,丁君君 ,2009-3 ,上海人民出版社 ,[德] 赫尔曼·黑塞 
枪炮、病菌与钢铁,人类社会的命运,8.7,34056人评价,45.00,谢延光 ,2006-4-1 ,上海世纪出版集团 ,[美] 贾雷德·戴蒙德 
社会心理学,人们是如何思索、影响他人并与他人建立联系的,9.0,18784人评价,68.00,张智勇 ,2006-1 ,人民邮电出版社 ,[美] 戴维·迈尔斯 
罗生门,人生，远比地狱更像地狱,8.7,50278人评价,12.00,林少华 ,2008-7 ,上海译文出版社 ,[日]芥川龙之介 
我不知道该说什么，关于死亡还是爱情,真实记录切尔诺贝利核灾难事件,9.0,14818人评价,34.80,方祖芳 ,2014-6-15 ,花城出版社/铁葫芦图书 ,S.A.阿列克谢耶维奇 
万物有灵且美,活泼的生命完全无须借助魔法，便能对我们述说至美至真的故事,8.8,18741人评价,28.80,种衍伦 ,2010-1 ,中国城市出版社 ,[英] 吉米·哈利 
失明症漫记,失明症迅速蔓延，整个城市陷入一场空前的灾难,9.1,13480人评价,29.50,范维信 ,2014-2 ,南海出版公司 ,[葡] 若泽·萨拉马戈 
罪与罚,描绘人内心的全部深度,9.1,13981人评价,23.00,岳麟 ,2006-8 ,上海译文出版社 ,[俄] 陀思妥耶夫斯基 
我的天才女友,“那不勒斯四部曲”第一部，两个女人，50年的友谊和战争,8.5,62462人评价,42.00,陈英 ,2017-1 ,人民文学出版社 ,[意] 埃莱娜·费兰特 
荆棘鸟,澳洲乱世情,8.6,45964人评价,28.00,曾胡 ,1998-7 ,译林出版社 ,[澳] 考琳·麦卡洛 
全球通史,从史前史到21世纪,9.1,12271人评价,168.00,吴象婴 ,2012-2-1 ,北京大学出版社 ,(美) 斯塔夫里阿诺斯 
正见,佛陀的证悟,8.8,14941人评价,25.00,姚仁喜 ,2007-1 ,中国友谊出版公司 ,宗萨蒋扬钦哲仁波切 
海风中失落的血色馈赠,男女之间、父母与子女之间紧密的纽带和难以逾越的鸿沟,9.1,10686人评价,CNY 20.00,陈以侃 ,2015-6-1 ,上海文艺出版社 ,[加拿大] 阿利斯泰尔·麦克劳德 
从一到无穷大,科学中的事实和臆测,9.1,10228人评价,29.00,暴永宁 译 ,2002-11 ,科学出版社 ,[美] G. 伽莫夫 
认识电影,电影入门经典之作,8.9,14419人评价,68.00,焦雄屏 ,2007-11 ,世界图书出版公司 ,[美] 路易斯·贾内梯 
孙子兵法,我国最古老最杰出的一部兵书,9.4,9502人评价,20.00,郭化若 ,2006-7 ,上海古籍出版社 ,孙武 
理想国,人类历史上最早的乌托邦,8.8,23948人评价,28.00,郭斌和 ,1986-8 ,商务印书馆 ,[古希腊] 柏拉图 
牧羊少年奇幻之旅,你自己就是最大的宝藏,8.5,125561人评价,25.00,丁文林 ,2009-3-1 ,南海出版公司 ,[巴西] 保罗·柯艾略 
一桩事先张扬的凶杀案,我如此急切地想要讲述这桩案件，也许是它最终确定了我的作家生涯,8.7,24678人评价,25.00,魏然 ,2013-6 ,南海出版公司 ,[哥伦比亚] 加西亚·马尔克斯 
银河帝国：基地七部曲,阿西莫夫经典科幻小说,9.5,5928人评价,328.00,叶李华 ,2015-10-1 ,江苏凤凰文艺出版社 ,[美] 艾萨克·阿西莫夫 
火星救援,跟火星来一场不是你死就是我活的过家家游戏,8.9,13002人评价,38.00,陈灼 ,2015-10 ,译林出版社 ,[美] 安迪·威尔 
黑客与画家,硅谷创业之父Paul Graham文集,8.7,19046人评价,49.00,阮一峰 ,2011-4 ,人民邮电出版社 ,[美] Paul Graham 
庄子,野马也，尘埃也，生物之以息相吹也,9.4,8038人评价,20.00,方勇 译注 ,2007-04 ,中华书局 ,孙通海 译注 
中国哲学简史,中国哲学入门书,8.9,15872人评价,38.00,赵复三 ,2004-1 ,新世界出版社 ,冯友兰 
你一生的故事,特德·姜科幻小说集,8.7,23302人评价,36.00,李克勤 ,2015-5 ,译林出版社 ,[美] 特德·姜 
强风吹拂,明明这么痛苦，这么难过，为什么就是不能放弃跑步？,9.0,12248人评价,39.00,林佩瑾 ,2015-1-1 ,广西师范大学出版社 ,三浦紫苑 
象棋的故事,纳粹法西斯对人心灵的折磨及摧残,9.1,9081人评价,23.00,张玉书 ,2007-7 ,上海译文出版社 ,[奥] 斯台芬·茨威格 
